sys_id,property_external_id,property_name,address_line1,address_line2,city,state,zip,country,latitude,longitude,geocoding_precision,census_tract,block_group,cbsa_code,submarket_name,property_type,mf_product_type,property_class,status,year_built,year_renovated,num_buildings,num_stories,num_units,gross_building_area_sqft,net_rentable_area_sqft,avg_unit_size_sqft,land_area_acres,parking_stalls,parking_ratio_per_unit,elevators,construction_start_date,delivery_date,stabilization_date,zoning_code,zoning_desc,fema_flood_zone,electric_payer,gas_payer,water_payer,sewer_payer,trash_payer,energy_star_score,leed_level,owner_name,owner_type,manager_name,manager_phone,manager_email,website_url,last_appraised_value_usd,last_appraised_date,assessed_value_land_usd,assessed_value_improvement_usd,assessed_tax_year,tax_parcel_id,source,as_of_date,ingested_at,quality_flag,notes
PROP-000001,GOTHAM-20109-87397,GOTHAM TOWERS 1,1924 STONE ST,,GOTHAM,VA,20109,USA,38.908881,-77.176811,rooftop,104265,1,47900,GOTHAM - RIVER NORTH,multifamily,garden,A,existing,2025,,4,3,82,73916,68167,831.3,5,42,0.51,0,,,,RMF-1,RESIDENTIAL MIXED-USE,X,owner,tenant,owner,owner,owner,,none,CAPITAL HOLDINGS,PE,Emerson Sloane,703-403-9928,emerson.sloane@cityaptco.com,https://capital-apts.example.com/1,21255530,8/31/25,3188330,18067200,2025,GP-325-571029,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000002,GOTHAM-20106-23396,GOTHAM APARTMENTS 2,9754 RIVER LN,,GOTHAM,VA,20106,USA,38.854377,-77.289325,rooftop,149897,2,47900,GOTHAM - SOUTH SIDE,multifamily,mid-rise,A,existing,1971,,2,7,71,58247,55621,783.4,2.66,85,1.2,2,,,,RMU,PLANNED UNIT DEVELOPMENT,0.2PCT,rubs,tenant,rubs,owner,owner,54,none,CITYLINE PARTNERS,FAMILY_OFFICE,Quinn Hughes,703-670-9785,quinn.hughes@gothammgmt.com,https://cityline-apts.example.com/2,18549011,8/31/25,2782352,15766659,2025,GP-487-182627,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000003,GOTHAM-20120-96673,GOTHAM COMMONS 3,9144 WILLOW LN,,GOTHAM,VA,20120,USA,38.911969,-77.337814,rooftop,138030,2,47900,GOTHAM - WEST END,multifamily,high-rise,A,existing,2017,,1,16,110,92244,87153,792.3,3.43,54,0.49,2,,,,RMF-2,RESIDENTIAL MULTIFAMILY,AE,tenant,rubs,owner,mixed,rubs,76,none,RIDGEMONT PARTNERS,FAMILY_OFFICE,Jordan Harper,703-573-3664,jordan.harper@gothamre.com,https://ridgemont-apts.example.com/3,38910836,8/31/25,5836625,33074211,2025,GP-463-319684,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000004,GOTHAM-20106-93886,GOTHAM GARDENS 4,4474 HILL AVE,,GOTHAM,VA,20106,USA,38.948877,-77.27524,rooftop,173100,4,47900,GOTHAM - MIDTOWN,multifamily,high-rise,B,existing,2025,,1,24,106,93411,79871,753.5,7.35,154,1.46,2,,,,RMU,RESIDENTIAL MULTIFAMILY,X,tenant,tenant,tenant,rubs,rubs,,silver,GVA PROPERTIES,PE,Cameron Dawson,703-610-5386,cameron.dawson@gothammgmt.com,https://gva-apts.example.com/4,24867254,8/31/25,3730088,21137166,2025,GP-316-694731,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000005,GOTHAM-20116-83579,GOTHAM SQUARE 5,5255 WILLOW RD,,GOTHAM,VA,20116,USA,38.893723,-77.299204,rooftop,134538,7,47900,GOTHAM - SOUTH SIDE,multifamily,mid-rise,A,existing,2001,,1,6,96,86706,75302,784.4,4.2,84,0.88,2,,,,PUD,COMMERCIAL MIXED USE,AE,rubs,rubs,rubs,rubs,rubs,63,platinum,GVA REALTY,HNW_INDIVIDUAL,Riley Morgan,703-721-9085,riley.morgan@gothammgmt.com,https://gva-apts.example.com/5,24256805,8/31/25,3638521,20618284,2025,GP-873-149405,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000006,GOTHAM-20106-88104,GOTHAM TOWERS 6,1896 WILLOW BLVD,,GOTHAM,VA,20106,USA,38.929626,-77.182097,rooftop,169452,5,47900,GOTHAM - RIVER NORTH,multifamily,garden,A,existing,1994,,1,2,156,148085,139012,891.1,3.69,178,1.14,0,,,,PUD,RESIDENTIAL MULTIFAMILY,0.2PCT,tenant,tenant,owner,owner,owner,,none,RIDGEMONT HOLDINGS,HNW_INDIVIDUAL,Cameron Graham,703-749-5371,cameron.graham@gothamre.com,https://ridgemont-apts.example.com/6,45164852,8/31/25,6774728,38390124,2025,GP-214-407757,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000007,GOTHAM-20101-91959,GOTHAM FLATS 7,7223 ASH BLVD,,GOTHAM,VA,20101,USA,38.922576,-77.180744,rooftop,183848,9,47900,GOTHAM - RIVER NORTH,multifamily,student,A,existing,1978,,4,3,40,38389,33684,842.1,1.55,39,0.97,2,,,,PUD,RESIDENTIAL MIXED-USE,X,tenant,mixed,owner,rubs,rubs,64,none,RIDGEMONT PARTNERS,FAMILY_OFFICE,Kendall Carter,703-997-9689,kendall.carter@gothammgmt.com,https://ridgemont-apts.example.com/7,11455405,8/31/25,1718311,9737094,2025,GP-713-439902,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000008,GOTHAM-20112-20322,GOTHAM APARTMENTS 8,8105 CRESCENT ST,,GOTHAM,VA,20112,USA,38.947278,-77.286191,rooftop,196032,8,47900,GOTHAM - MIDTOWN,multifamily,mid-rise,D,existing,2010,,1,6,163,154748,133318,817.9,6.8,253,1.56,3,,,,RMF-1,RESIDENTIAL MIXED-USE,X,tenant,tenant,tenant,owner,owner,,gold,GVA HOLDINGS,FAMILY_OFFICE,Reese Douglas,703-369-5342,reese.douglas@cityaptco.com,https://gva-apts.example.com/8,6358593,8/31/25,953789,5404804,2025,GP-316-665492,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000009,GOTHAM-20112-18392,GOTHAM FLATS 9,3395 MAPLE LN,,GOTHAM,VA,20112,USA,38.906055,-77.238308,rooftop,102857,9,47900,GOTHAM - DOWNTOWN,multifamily,garden,B,existing,2017,,6,2,69,60055,53102,769.6,2.15,79,1.14,0,,,,RMF-2,RESIDENTIAL MIXED-USE,X,tenant,rubs,rubs,rubs,owner,72,none,ATLANTIC HOLDINGS,DEVELOPER,Reese Morgan,703-434-2104,reese.morgan@gothammgmt.com,https://atlantic-apts.example.com/9,14057056,8/31/25,2108558,11948498,2025,GP-980-446479,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000010,GOTHAM-20109-71953,GOTHAM COMMONS 10,1260 HARBOR TER,,GOTHAM,VA,20109,USA,38.8932,-77.247677,rooftop,162093,7,47900,GOTHAM - DOWNTOWN,multifamily,garden,C,existing,2003,,11,4,30,28896,25917,863.9,1.33,22,0.75,0,,,,RMF-2,RESIDENTIAL MULTIFAMILY,X,owner,owner,rubs,rubs,owner,,none,RIDGEMONT PARTNERS,PE,Hayden Douglas,703-620-8651,hayden.douglas@gothammgmt.com,https://ridgemont-apts.example.com/10,3539582,8/31/25,530937,3008645,2025,GP-789-785197,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
