sys_id,property_sys_id,as_of_date,unit_type,bath_count,units_count,avg_unit_sqft,market_rent_ask_usd,effective_rent_usd,rent_per_sqft_usd,occupied_units,leased_units,concession_months,parking_premium_usd,notes,source,ingested_at,quality_flag
MIX-PROP-000001-studio,PROP-000001,2025-08-31,studio,1.0,16,515.7,2237.51,2172.83,4.21,15,15,0.15,106.67,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000001-1br,PROP-000001,2025-08-31,1br,1.0,37,726.2,2328.09,2280.16,3.14,36,35,0.52,88.04,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000001-2br,PROP-000001,2025-08-31,2br,1.0,24,1110.1,2881.97,2789.53,2.51,23,22,0.84,129.32,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000001-3br,PROP-000001,2025-08-31,3br,1.5,5,1280.3,3161.12,3080.13,2.41,5,5,0.65,127.33,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000002-studio,PROP-000002,2025-08-31,studio,1.0,9,429.4,1915.92,1831.35,4.27,9,9,0.37,194.89,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000002-1br,PROP-000002,2025-08-31,1br,1.0,24,650.9,2152.99,2081.15,3.2,23,23,0.41,144.01,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000002-2br,PROP-000002,2025-08-31,2br,2.0,34,911.7,2552.9,2471.79,2.71,33,32,0.55,143.45,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000002-3br,PROP-000002,2025-08-31,3br,1.0,4,1283.7,2876.2,2792.18,2.18,4,4,0.04,93.88,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000003-studio,PROP-000003,2025-08-31,studio,1.0,18,508.9,2518.39,2449.25,4.81,17,16,0.62,107.81,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000003-1br,PROP-000003,2025-08-31,1br,1.0,57,763.9,2743.11,2664.93,3.49,54,52,0.55,122.84,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000003-2br,PROP-000003,2025-08-31,2br,2.0,33,966.7,3169.4,3055.58,3.16,31,30,0.79,109.59,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000003-3br,PROP-000003,2025-08-31,3br,1.0,2,1272.1,3477.26,3466.03,2.72,2,2,0.0,76.16,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000004-studio,PROP-000004,2025-08-31,studio,1.0,9,550.6,2064.42,1976.14,3.59,8,8,1.16,201.71,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000004-1br,PROP-000004,2025-08-31,1br,1.0,66,655.5,2237.13,2202.55,3.36,61,60,1.74,62.23,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000004-2br,PROP-000004,2025-08-31,2br,1.5,28,980.5,2570.06,2547.42,2.6,26,25,0.02,63.3,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000004-3br,PROP-000004,2025-08-31,3br,1.0,3,1400.8,2940.58,2913.4,2.08,3,3,0.42,145.65,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000005-studio,PROP-000005,2025-08-31,studio,1.0,8,512.4,1896.38,1877.61,3.66,8,8,0.0,136.8,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000005-1br,PROP-000005,2025-08-31,1br,1.0,49,706.6,2218.95,2151.85,3.05,47,46,0.0,36.8,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000005-2br,PROP-000005,2025-08-31,2br,1.0,33,891.4,2518.4,2419.59,2.71,31,31,0.92,141.49,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000005-3br,PROP-000005,2025-08-31,3br,1.0,6,1194.3,2839.24,2717.89,2.28,6,6,1.02,116.81,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000006-studio,PROP-000006,2025-08-31,studio,1.0,16,527.8,2243.0,2184.46,4.14,15,15,1.23,177.15,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000006-1br,PROP-000006,2025-08-31,1br,1.0,76,835.3,2537.84,2500.05,2.99,71,71,0.16,131.62,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000006-2br,PROP-000006,2025-08-31,2br,1.0,60,1024.6,2778.22,2693.73,2.63,56,55,0.0,136.14,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000006-3br,PROP-000006,2025-08-31,3br,1.0,4,1402.8,3216.12,3097.68,2.21,4,4,0.71,138.71,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000007-studio,PROP-000007,2025-08-31,studio,1.0,5,545.1,2091.61,1993.88,3.66,5,5,1.05,147.06,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000007-1br,PROP-000007,2025-08-31,1br,1.0,18,799.8,2350.04,2283.42,2.85,17,17,0.63,117.18,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000007-2br,PROP-000007,2025-08-31,2br,1.5,11,850.0,2736.63,2618.42,3.08,10,10,0.08,70.61,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
